File created on 2021-08-30T14:00:30.354798
File created on 2016-01-15T21:35:34.948634
#COOR
GSM


#START
2010 04 04 19 00 01 000        0.00      -4.01       2.29    -495.02     -35.28      22.85       3.77  105250.48
2010 04 04 19 15 01 000        0.00       3.41      -2.17    -516.61       4.31     -19.35       2.90  140754.37
2010 04 04 19 30 01 000        0.00       1.47      -3.48    -500.95     -12.26     -28.08       3.44  129214.01
2010 04 04 19 45 01 000        0.00       0.43      -2.28    -485.47     -19.80      -9.34       3.60  138823.70
2010 04 04 20 00 01 000        0.00       0.64      -0.75    -479.39     -17.09       5.54       3.92  119839.95
2010 04 04 20 15 01 000        0.00      -0.06      -0.81    -475.76     -21.60       5.45       4.06  106199.78
2010 04 04 20 30 01 000        0.00       1.14       2.57    -488.14      -6.98      21.85       3.74  118556.90
2010 04 04 20 45 01 000        0.00      -2.46       4.66    -491.78     -25.83      45.12       3.96  111459.06
2010 04 04 21 00 01 000        0.00      -4.60       2.71    -492.73     -44.38      39.76       3.97  122750.19
2010 04 04 21 15 01 000        0.00       0.39       3.37    -483.01     -12.42      31.61       3.93  114465.24
2010 04 04 21 30 01 000        0.00       1.33       1.57    -472.49      -8.58      14.81       3.96   98930.87
2010 04 04 21 45 01 000        0.00       0.68      -2.31    -483.95     -22.69     -15.21       3.44  122591.61
2010 04 04 22 00 01 000        0.00       2.24      -3.40    -491.05     -10.16     -27.70       3.17  125382.22
2010 04 04 22 15 01 000        0.00       3.54      -3.86    -502.40       5.40     -41.12       3.23  106754.84
2010 04 04 22 30 01 000        0.00       3.66      -3.99    -501.54       1.42     -43.91       3.06  101594.05
2010 04 04 22 45 01 000        0.00       1.98      -4.35    -500.59     -10.91     -36.56       3.21  106367.18
2010 04 04 23 00 01 000        0.00       3.41      -4.95    -511.48      -8.92     -48.81       3.34  103555.41
2010 04 04 23 15 01 000        0.00       3.77      -4.43    -515.85       5.06     -44.24       3.41  104795.34
2010 04 04 23 30 01 000        0.00       0.95      -3.30    -524.61      18.13     -25.79       4.03  132418.93
2010 04 04 23 45 01 000        0.00      -0.35      -2.60    -517.99       7.36     -16.48       4.52  143498.29
