# INFO: GOES 1 min ephemeris
# SAT: GOES7
# DATE: 19890312
#                    UTC     Lat (deg)     Lon (deg)      Rad (Re)
1989-03-12T00:00:00.000000Z    -0.03793261    -127.27238270     6.62948524
1989-03-12T00:01:00.000000Z    -0.03805052    -127.27356518     6.62946203
1989-03-12T00:02:00.000000Z    -0.03816769    -127.27474592     6.62943870
1989-03-12T00:03:00.000000Z    -0.03828414    -127.27592490     6.62941524
1989-03-12T00:04:00.000000Z    -0.03839986    -127.27710210     6.62939166
1989-03-12T00:05:00.000000Z    -0.03851485    -127.27827752     6.62936796
1989-03-12T00:06:00.000000Z    -0.03862910    -127.27945116     6.62934414
1989-03-12T00:07:00.000000Z    -0.03874261    -127.28062300     6.62932019
1989-03-12T00:08:00.000000Z    -0.03885539    -127.28179302     6.62929613
1989-03-12T00:09:00.000000Z    -0.03896743    -127.28296124     6.62927195
1989-03-12T00:10:00.000000Z    -0.03907872    -127.28412762     6.62924765
1989-03-12T00:11:00.000000Z    -0.03918927    -127.28529217     6.62922323
1989-03-12T00:12:00.000000Z    -0.03929907    -127.28645488     6.62919869
1989-03-12T00:13:00.000000Z    -0.03940812    -127.28761574     6.62917403
1989-03-12T00:14:00.000000Z    -0.03951642    -127.28877473     6.62914926
1989-03-12T00:15:00.000000Z    -0.03962397    -127.28993186     6.62912437
1989-03-12T00:16:00.000000Z    -0.03973076    -127.29108710     6.62909936
1989-03-12T00:17:00.000000Z    -0.03983680    -127.29224046     6.62907424
1989-03-12T00:18:00.000000Z    -0.03994207    -127.29339192     6.62904900
1989-03-12T00:19:00.000000Z    -0.04004659    -127.29454148     6.62902364
1989-03-12T00:20:00.000000Z    -0.04015034    -127.29568912     6.62899818
1989-03-12T00:21:00.000000Z    -0.04025332    -127.29683484     6.62897259
1989-03-12T00:22:00.000000Z    -0.04035554    -127.29797863     6.62894690
1989-03-12T00:23:00.000000Z    -0.04045699    -127.29912048     6.62892109
1989-03-12T00:24:00.000000Z    -0.04055767    -127.30026038     6.62889517
1989-03-12T00:25:00.000000Z    -0.04065758    -127.30139832     6.62886913
1989-03-12T00:26:00.000000Z    -0.04075671    -127.30253430     6.62884299
1989-03-12T00:27:00.000000Z    -0.04085507    -127.30366831     6.62881673
1989-03-12T00:28:00.000000Z    -0.04095264    -127.30480033     6.62879036
1989-03-12T00:29:00.000000Z    -0.04104944    -127.30593037     6.62876389
1989-03-12T00:30:00.000000Z    -0.04114546    -127.30705841     6.62873730
1989-03-12T00:31:00.000000Z    -0.04124069    -127.30818444     6.62871061
1989-03-12T00:32:00.000000Z    -0.04133513    -127.30930845     6.62868380
1989-03-12T00:33:00.000000Z    -0.04142879    -127.31043044     6.62865689
1989-03-12T00:34:00.000000Z    -0.04152166    -127.31155040     6.62862987
1989-03-12T00:35:00.000000Z    -0.04161374    -127.31266832     6.62860274
1989-03-12T00:36:00.000000Z    -0.04170502    -127.31378420     6.62857551
1989-03-12T00:37:00.000000Z    -0.04179551    -127.31489802     6.62854817
1989-03-12T00:38:00.000000Z    -0.04188521    -127.31600977     6.62852072
1989-03-12T00:39:00.000000Z    -0.04197411    -127.31711946     6.62849317
1989-03-12T00:40:00.000000Z    -0.04206220    -127.31822706     6.62846552
1989-03-12T00:41:00.000000Z    -0.04214950    -127.31933258     6.62843776
1989-03-12T00:42:00.000000Z    -0.04223600    -127.32043600     6.62840990
1989-03-12T00:43:00.000000Z    -0.04232169    -127.32153732     6.62838193
1989-03-12T00:44:00.000000Z    -0.04240657    -127.32263653     6.62835386
