# INFO: GOES 1 min ephemeris
# SAT: GOES6
# DATE: 19890315
#                    UTC     Lat (deg)     Lon (deg)      Rad (Re)
1989-03-15T00:00:00.000000Z    -1.14689867    -104.94846400     6.61187724
1989-03-15T00:01:00.000000Z    -1.14014638    -104.94858628     6.61187563
1989-03-15T00:02:00.000000Z    -1.13337229    -104.94870961     6.61187401
1989-03-15T00:03:00.000000Z    -1.12657653    -104.94883400     6.61187237
1989-03-15T00:04:00.000000Z    -1.11975922    -104.94895943     6.61187071
1989-03-15T00:05:00.000000Z    -1.11292051    -104.94908590     6.61186904
1989-03-15T00:06:00.000000Z    -1.10606052    -104.94921341     6.61186736
1989-03-15T00:07:00.000000Z    -1.09917938    -104.94934195     6.61186566
1989-03-15T00:08:00.000000Z    -1.09227722    -104.94947152     6.61186394
1989-03-15T00:09:00.000000Z    -1.08535418    -104.94960211     6.61186221
1989-03-15T00:10:00.000000Z    -1.07841039    -104.94973372     6.61186046
1989-03-15T00:11:00.000000Z    -1.07144598    -104.94986634     6.61185870
1989-03-15T00:12:00.000000Z    -1.06446108    -104.94999997     6.61185692
1989-03-15T00:13:00.000000Z    -1.05745583    -104.95013460     6.61185512
1989-03-15T00:14:00.000000Z    -1.05043037    -104.95027022     6.61185332
1989-03-15T00:15:00.000000Z    -1.04338482    -104.95040684     6.61185149
1989-03-15T00:16:00.000000Z    -1.03631931    -104.95054444     6.61184965
1989-03-15T00:17:00.000000Z    -1.02923399    -104.95068302     6.61184780
1989-03-15T00:18:00.000000Z    -1.02212900    -104.95082257     6.61184593
1989-03-15T00:19:00.000000Z    -1.01500446    -104.95096309     6.61184405
1989-03-15T00:20:00.000000Z    -1.00786052    -104.95110458     6.61184215
1989-03-15T00:21:00.000000Z    -1.00069730    -104.95124702     6.61184024
1989-03-15T00:22:00.000000Z    -0.99351496    -104.95139041     6.61183831
1989-03-15T00:23:00.000000Z    -0.98631361    -104.95153474     6.61183636
1989-03-15T00:24:00.000000Z    -0.97909341    -104.95168002     6.61183440
1989-03-15T00:25:00.000000Z    -0.97185449    -104.95182622     6.61183243
1989-03-15T00:26:00.000000Z    -0.96459699    -104.95197335     6.61183044
1989-03-15T00:27:00.000000Z    -0.95732104    -104.95212140     6.61182844
1989-03-15T00:28:00.000000Z    -0.95002679    -104.95227036     6.61182642
1989-03-15T00:29:00.000000Z    -0.94271437    -104.95242023     6.61182439
1989-03-15T00:30:00.000000Z    -0.93538394    -104.95257100     6.61182235
1989-03-15T00:31:00.000000Z    -0.92803561    -104.95272266     6.61182029
1989-03-15T00:32:00.000000Z    -0.92066955    -104.95287520     6.61181821
1989-03-15T00:33:00.000000Z    -0.91328588    -104.95302863     6.61181612
1989-03-15T00:34:00.000000Z    -0.90588474    -104.95318292     6.61181402
1989-03-15T00:35:00.000000Z    -0.89846629    -104.95333808     6.61181190
1989-03-15T00:36:00.000000Z    -0.89103066    -104.95349410     6.61180976
1989-03-15T00:37:00.000000Z    -0.88357799    -104.95365097     6.61180762
1989-03-15T00:38:00.000000Z    -0.87610843    -104.95380868     6.61180546
1989-03-15T00:39:00.000000Z    -0.86862212    -104.95396723     6.61180328
1989-03-15T00:40:00.000000Z    -0.86111919    -104.95412660     6.61180109
1989-03-15T00:41:00.000000Z    -0.85359981    -104.95428680     6.61179889
1989-03-15T00:42:00.000000Z    -0.84606410    -104.95444781     6.61179667
1989-03-15T00:43:00.000000Z    -0.83851222    -104.95460963     6.61179443
1989-03-15T00:44:00.000000Z    -0.83094430    -104.95477224     6.61179219
1989-03-15T00:45:00.000000Z    -0.82336050    -104.95493564     6.61178993
1989-03-15T00:46:00.000000Z    -0.81576095    -104.95509983     6.61178765
1989-03-15T00:47:00.000000Z    -0.80814581    -104.95526479     6.61178537
1989-03-15T00:48:00.000000Z    -0.80051521    -104.95543052     6.61178306
1989-03-15T00:49:00.000000Z    -0.79286931    -104.95559701     6.61178075
1989-03-15T00:50:00.000000Z    -0.78520825    -104.95576424     6.61177842
1989-03-15T00:51:00.000000Z    -0.77753216    -104.95593222     6.61177608
1989-03-15T00:52:00.000000Z    -0.76984122    -104.95610093     6.61177372
1989-03-15T00:53:00.000000Z    -0.76213556    -104.95627037     6.61177135
1989-03-15T00:54:00.000000Z    -0.75441532    -104.95644053     6.61176896
1989-03-15T00:55:00.000000Z    -0.74668066    -104.95661139     6.61176657
1989-03-15T00:56:00.000000Z    -0.73893172    -104.95678296     6.61176415
1989-03-15T00:57:00.000000Z    -0.73116865    -104.95695521     6.61176173
1989-03-15T00:58:00.000000Z    -0.72339160    -104.95712815     6.61175929
1989-03-15T00:59:00.000000Z    -0.71560072    -104.95730177     6.61175684
1989-03-15T01:00:00.000000Z    -0.70779616    -104.95747605     6.61175438
1989-03-15T01:01:00.000000Z    -0.69997806    -104.95765098     6.61175190
1989-03-15T01:02:00.000000Z    -0.69214657    -104.95782657     6.61174941
1989-03-15T01:03:00.000000Z    -0.68430185    -104.95800279     6.61174690
1989-03-15T01:04:00.000000Z    -0.67644405    -104.95817965     6.61174439
1989-03-15T01:05:00.000000Z    -0.66857331    -104.95835712     6.61174186
1989-03-15T01:06:00.000000Z    -0.66068979    -104.95853521     6.61173931
1989-03-15T01:07:00.000000Z    -0.65279363    -104.95871389     6.61173676
1989-03-15T01:08:00.000000Z    -0.64488499    -104.95889318     6.61173419
1989-03-15T01:09:00.000000Z    -0.63696402    -104.95907304     6.61173160
1989-03-15T01:10:00.000000Z    -0.62903087    -104.95925348     6.61172901
1989-03-15T01:11:00.000000Z    -0.62108568    -104.95943449     6.61172640
1989-03-15T01:12:00.000000Z    -0.61312863    -104.95961605     6.61172378
1989-03-15T01:13:00.000000Z    -0.60515984    -104.95979816     6.61172115
1989-03-15T01:14:00.000000Z    -0.59717948    -104.95998080     6.61171850
1989-03-15T01:15:00.000000Z    -0.58918770    -104.96016397     6.61171584
1989-03-15T01:16:00.000000Z    -0.58118466    -104.96034766     6.61171317
1989-03-15T01:17:00.000000Z    -0.57317050    -104.96053186     6.61171049
1989-03-15T01:18:00.000000Z    -0.56514538    -104.96071655     6.61170780
1989-03-15T01:19:00.000000Z    -0.55710945    -104.96090174     6.61170509
1989-03-15T01:20:00.000000Z    -0.54906287    -104.96108740     6.61170237
1989-03-15T01:21:00.000000Z    -0.54100579    -104.96127353     6.61169963
1989-03-15T01:22:00.000000Z    -0.53293836    -104.96146012     6.61169689
1989-03-15T01:23:00.000000Z    -0.52486073    -104.96164715     6.61169413
1989-03-15T01:24:00.000000Z    -0.51677307    -104.96183463     6.61169136
1989-03-15T01:25:00.000000Z    -0.50867552    -104.96202253     6.61168858
1989-03-15T01:26:00.000000Z    -0.50056825    -104.96221085     6.61168579
1989-03-15T01:27:00.000000Z    -0.49245140    -104.96239958     6.61168298
1989-03-15T01:28:00.000000Z    -0.48432513    -104.96258871     6.61168017
1989-03-15T01:29:00.000000Z    -0.47618960    -104.96277822     6.61167734
1989-03-15T01:30:00.000000Z    -0.46804496    -104.96296811     6.61167450
1989-03-15T01:31:00.000000Z    -0.45989137    -104.96315837     6.61167165
1989-03-15T01:32:00.000000Z    -0.45172898    -104.96334898     6.61166878
1989-03-15T01:33:00.000000Z    -0.44355795    -104.96353994     6.61166591
1989-03-15T01:34:00.000000Z    -0.43537843    -104.96373123     6.61166302
1989-03-15T01:35:00.000000Z    -0.42719059    -104.96392285     6.61166012
1989-03-15T01:36:00.000000Z    -0.41899457    -104.96411479     6.61165721
1989-03-15T01:37:00.000000Z    -0.41079054    -104.96430702     6.61165429
1989-03-15T01:38:00.000000Z    -0.40257865    -104.96449955     6.61165136
1989-03-15T01:39:00.000000Z    -0.39435906    -104.96469237     6.61164841
1989-03-15T01:40:00.000000Z    -0.38613192    -104.96488545     6.61164546
1989-03-15T01:41:00.000000Z    -0.37789740    -104.96507880     6.61164249
1989-03-15T01:42:00.000000Z    -0.36965564    -104.96527239     6.61163951
1989-03-15T01:43:00.000000Z    -0.36140681    -104.96546622     6.61163653
1989-03-15T01:44:00.000000Z    -0.35315107    -104.96566029     6.61163353
1989-03-15T01:45:00.000000Z    -0.34488857    -104.96585457     6.61163052
1989-03-15T01:46:00.000000Z    -0.33661947    -104.96604906     6.61162749
1989-03-15T01:47:00.000000Z    -0.32834393    -104.96624374     6.61162446
1989-03-15T01:48:00.000000Z    -0.32006210    -104.96643861     6.61162142
1989-03-15T01:49:00.000000Z    -0.31177415    -104.96663365     6.61161837
1989-03-15T01:50:00.000000Z    -0.30348024    -104.96682885     6.61161530
1989-03-15T01:51:00.000000Z    -0.29518051    -104.96702421     6.61161223
1989-03-15T01:52:00.000000Z    -0.28687514    -104.96721971     6.61160914
1989-03-15T01:53:00.000000Z    -0.27856427    -104.96741534     6.61160604
1989-03-15T01:54:00.000000Z    -0.27024807    -104.96761108     6.61160294
1989-03-15T01:55:00.000000Z    -0.26192670    -104.96780694     6.61159982
1989-03-15T01:56:00.000000Z    -0.25360032    -104.96800289     6.61159669
1989-03-15T01:57:00.000000Z    -0.24526907    -104.96819892     6.61159356
1989-03-15T01:58:00.000000Z    -0.23693314    -104.96839503     6.61159041
