# INFO: GOES 1 min ephemeris
# SAT: GOES6
# DATE: 19890312
#                    UTC     Lat (deg)     Lon (deg)      Rad (Re)
1989-03-12T00:00:00.000000Z    -1.21631532    -104.86739543     6.61189305
1989-03-12T00:01:00.000000Z    -1.20982125    -104.86750368     6.61189162
1989-03-12T00:02:00.000000Z    -1.20330403    -104.86761303     6.61189018
1989-03-12T00:03:00.000000Z    -1.19676380    -104.86772347     6.61188872
1989-03-12T00:04:00.000000Z    -1.19020068    -104.86783500     6.61188724
1989-03-12T00:05:00.000000Z    -1.18361480    -104.86794760     6.61188575
1989-03-12T00:06:00.000000Z    -1.17700628    -104.86806129     6.61188424
1989-03-12T00:07:00.000000Z    -1.17037524    -104.86817605     6.61188271
1989-03-12T00:08:00.000000Z    -1.16372182    -104.86829189     6.61188117
1989-03-12T00:09:00.000000Z    -1.15704615    -104.86840879     6.61187962
1989-03-12T00:10:00.000000Z    -1.15034834    -104.86852676     6.61187805
1989-03-12T00:11:00.000000Z    -1.14362853    -104.86864578     6.61187646
1989-03-12T00:12:00.000000Z    -1.13688685    -104.86876586     6.61187486
1989-03-12T00:13:00.000000Z    -1.13012342    -104.86888699     6.61187324
1989-03-12T00:14:00.000000Z    -1.12333838    -104.86900917     6.61187160
1989-03-12T00:15:00.000000Z    -1.11653185    -104.86913238     6.61186995
1989-03-12T00:16:00.000000Z    -1.10970396    -104.86925664     6.61186829
1989-03-12T00:17:00.000000Z    -1.10285485    -104.86938193     6.61186661
1989-03-12T00:18:00.000000Z    -1.09598464    -104.86950825     6.61186491
1989-03-12T00:19:00.000000Z    -1.08909348    -104.86963558     6.61186320
1989-03-12T00:20:00.000000Z    -1.08218148    -104.86976394     6.61186148
1989-03-12T00:21:00.000000Z    -1.07524878    -104.86989331     6.61185974
1989-03-12T00:22:00.000000Z    -1.06829551    -104.87002369     6.61185798
1989-03-12T00:23:00.000000Z    -1.06132182    -104.87015507     6.61185621
1989-03-12T00:24:00.000000Z    -1.05432782    -104.87028745     6.61185442
1989-03-12T00:25:00.000000Z    -1.04731365    -104.87042082     6.61185262
1989-03-12T00:26:00.000000Z    -1.04027945    -104.87055518     6.61185080
1989-03-12T00:27:00.000000Z    -1.03322536    -104.87069052     6.61184897
1989-03-12T00:28:00.000000Z    -1.02615150    -104.87082683     6.61184712
1989-03-12T00:29:00.000000Z    -1.01905801    -104.87096411     6.61184526
1989-03-12T00:30:00.000000Z    -1.01194503    -104.87110236     6.61184338
1989-03-12T00:31:00.000000Z    -1.00481269    -104.87124157     6.61184149
1989-03-12T00:32:00.000000Z    -0.99766113    -104.87138173     6.61183958
1989-03-12T00:33:00.000000Z    -0.99049049    -104.87152283     6.61183766
1989-03-12T00:34:00.000000Z    -0.98330091    -104.87166488     6.61183572
1989-03-12T00:35:00.000000Z    -0.97609251    -104.87180785     6.61183377
1989-03-12T00:36:00.000000Z    -0.96886544    -104.87195176     6.61183180
1989-03-12T00:37:00.000000Z    -0.96161984    -104.87209659     6.61182982
1989-03-12T00:38:00.000000Z    -0.95435585    -104.87224233     6.61182782
1989-03-12T00:39:00.000000Z    -0.94707360    -104.87238898     6.61182581
1989-03-12T00:40:00.000000Z    -0.93977322    -104.87253654     6.61182379
1989-03-12T00:41:00.000000Z    -0.93245488    -104.87268499     6.61182175
1989-03-12T00:42:00.000000Z    -0.92511870    -104.87283433     6.61181969
1989-03-12T00:43:00.000000Z    -0.91776482    -104.87298455     6.61181762
1989-03-12T00:44:00.000000Z    -0.91039338    -104.87313564     6.61181554
1989-03-12T00:45:00.000000Z    -0.90300453    -104.87328760     6.61181344
