# INFO: GOES 1 min ephemeris
# SAT: GOES6
# DATE: 19890313
#                    UTC     Lat (deg)     Lon (deg)      Rad (Re)
1989-03-13T00:00:00.000000Z    -1.19430786    -104.89327657     6.61188796
1989-03-13T00:01:00.000000Z    -1.18772426    -104.89338972     6.61188647
1989-03-13T00:02:00.000000Z    -1.18111794    -104.89350395     6.61188496
1989-03-13T00:03:00.000000Z    -1.17448904    -104.89361926     6.61188344
1989-03-13T00:04:00.000000Z    -1.16783768    -104.89373565     6.61188190
1989-03-13T00:05:00.000000Z    -1.16116399    -104.89385310     6.61188035
1989-03-13T00:06:00.000000Z    -1.15446809    -104.89397163     6.61187878
1989-03-13T00:07:00.000000Z    -1.14775012    -104.89409122     6.61187719
1989-03-13T00:08:00.000000Z    -1.14101020    -104.89421186     6.61187559
1989-03-13T00:09:00.000000Z    -1.13424846    -104.89433356     6.61187398
1989-03-13T00:10:00.000000Z    -1.12746503    -104.89445631     6.61187235
1989-03-13T00:11:00.000000Z    -1.12066004    -104.89458011     6.61187070
1989-03-13T00:12:00.000000Z    -1.11383362    -104.89470495     6.61186904
1989-03-13T00:13:00.000000Z    -1.10698590    -104.89483082     6.61186736
1989-03-13T00:14:00.000000Z    -1.10011701    -104.89495773     6.61186567
1989-03-13T00:15:00.000000Z    -1.09322708    -104.89508567     6.61186396
1989-03-13T00:16:00.000000Z    -1.08631625    -104.89521462     6.61186224
1989-03-13T00:17:00.000000Z    -1.07938464    -104.89534459     6.61186050
1989-03-13T00:18:00.000000Z    -1.07243240    -104.89547558     6.61185874
1989-03-13T00:19:00.000000Z    -1.06545965    -104.89560757     6.61185697
1989-03-13T00:20:00.000000Z    -1.05846652    -104.89574057     6.61185519
1989-03-13T00:21:00.000000Z    -1.05145315    -104.89587456     6.61185339
1989-03-13T00:22:00.000000Z    -1.04441968    -104.89600954     6.61185157
1989-03-13T00:23:00.000000Z    -1.03736623    -104.89614551     6.61184974
1989-03-13T00:24:00.000000Z    -1.03029294    -104.89628245     6.61184790
1989-03-13T00:25:00.000000Z    -1.02319996    -104.89642038     6.61184604
1989-03-13T00:26:00.000000Z    -1.01608740    -104.89655926     6.61184416
1989-03-13T00:27:00.000000Z    -1.00895542    -104.89669912     6.61184227
1989-03-13T00:28:00.000000Z    -1.00180414    -104.89683993     6.61184037
1989-03-13T00:29:00.000000Z    -0.99463370    -104.89698169     6.61183845
1989-03-13T00:30:00.000000Z    -0.98744424    -104.89712439     6.61183651
1989-03-13T00:31:00.000000Z    -0.98023590    -104.89726803     6.61183456
1989-03-13T00:32:00.000000Z    -0.97300881    -104.89741261     6.61183260
1989-03-13T00:33:00.000000Z    -0.96576311    -104.89755811     6.61183062
1989-03-13T00:34:00.000000Z    -0.95849895    -104.89770453     6.61182862
1989-03-13T00:35:00.000000Z    -0.95121646    -104.89785187     6.61182661
1989-03-13T00:36:00.000000Z    -0.94391577    -104.89800011     6.61182459
1989-03-13T00:37:00.000000Z    -0.93659704    -104.89814925     6.61182255
1989-03-13T00:38:00.000000Z    -0.92926039    -104.89829928     6.61182050
1989-03-13T00:39:00.000000Z    -0.92190597    -104.89845021     6.61181843
1989-03-13T00:40:00.000000Z    -0.91453392    -104.89860201     6.61181635
1989-03-13T00:41:00.000000Z    -0.90714438    -104.89875468     6.61181426
1989-03-13T00:42:00.000000Z    -0.89973749    -104.89890822     6.61181215
1989-03-13T00:43:00.000000Z    -0.89231340    -104.89906262     6.61181002
1989-03-13T00:44:00.000000Z    -0.88487224    -104.89921787     6.61180788
1989-03-13T00:45:00.000000Z    -0.87741416    -104.89937396     6.61180573
1989-03-13T00:46:00.000000Z    -0.86993929    -104.89953089     6.61180356
1989-03-13T00:47:00.000000Z    -0.86244779    -104.89968865     6.61180138
1989-03-13T00:48:00.000000Z    -0.85493980    -104.89984723     6.61179918
1989-03-13T00:49:00.000000Z    -0.84741545    -104.90000663     6.61179697
1989-03-13T00:50:00.000000Z    -0.83987490    -104.90016683     6.61179475
