# INFO: GOES 1 min ephemeris
# SAT: GOES7
# DATE: 19890313
#                    UTC     Lat (deg)     Lon (deg)      Rad (Re)
1989-03-13T00:00:00.000000Z    -0.03708585    -128.27149064     6.62947452
1989-03-13T00:01:00.000000Z    -0.03720027    -128.27267228     6.62945134
1989-03-13T00:02:00.000000Z    -0.03731398    -128.27385216     6.62942802
1989-03-13T00:03:00.000000Z    -0.03742698    -128.27503028     6.62940459
1989-03-13T00:04:00.000000Z    -0.03753926    -128.27620663     6.62938103
1989-03-13T00:05:00.000000Z    -0.03765083    -128.27738120     6.62935736
1989-03-13T00:06:00.000000Z    -0.03776168    -128.27855399     6.62933356
1989-03-13T00:07:00.000000Z    -0.03787181    -128.27972498     6.62930964
1989-03-13T00:08:00.000000Z    -0.03798122    -128.28089417     6.62928560
1989-03-13T00:09:00.000000Z    -0.03808990    -128.28206154     6.62926144
1989-03-13T00:10:00.000000Z    -0.03819786    -128.28322708     6.62923716
1989-03-13T00:11:00.000000Z    -0.03830508    -128.28439080     6.62921276
1989-03-13T00:12:00.000000Z    -0.03841158    -128.28555267     6.62918825
1989-03-13T00:13:00.000000Z    -0.03851734    -128.28671269     6.62916361
1989-03-13T00:14:00.000000Z    -0.03862237    -128.28787085     6.62913886
1989-03-13T00:15:00.000000Z    -0.03872666    -128.28902714     6.62911399
1989-03-13T00:16:00.000000Z    -0.03883022    -128.29018156     6.62908901
1989-03-13T00:17:00.000000Z    -0.03893303    -128.29133409     6.62906391
1989-03-13T00:18:00.000000Z    -0.03903510    -128.29248473     6.62903869
1989-03-13T00:19:00.000000Z    -0.03913642    -128.29363346     6.62901336
1989-03-13T00:20:00.000000Z    -0.03923700    -128.29478028     6.62898791
1989-03-13T00:21:00.000000Z    -0.03933683    -128.29592518     6.62896235
1989-03-13T00:22:00.000000Z    -0.03943591    -128.29706815     6.62893668
1989-03-13T00:23:00.000000Z    -0.03953423    -128.29820919     6.62891089
1989-03-13T00:24:00.000000Z    -0.03963181    -128.29934827     6.62888500
1989-03-13T00:25:00.000000Z    -0.03972862    -128.30048540     6.62885898
1989-03-13T00:26:00.000000Z    -0.03982468    -128.30162057     6.62883286
1989-03-13T00:27:00.000000Z    -0.03991998    -128.30275377     6.62880663
1989-03-13T00:28:00.000000Z    -0.04001452    -128.30388499     6.62878028
1989-03-13T00:29:00.000000Z    -0.04010830    -128.30501422     6.62875383
1989-03-13T00:30:00.000000Z    -0.04020131    -128.30614145     6.62872726
1989-03-13T00:31:00.000000Z    -0.04029355    -128.30726668     6.62870059
1989-03-13T00:32:00.000000Z    -0.04038502    -128.30838990     6.62867381
1989-03-13T00:33:00.000000Z    -0.04047573    -128.30951109     6.62864691
1989-03-13T00:34:00.000000Z    -0.04056566    -128.31063026     6.62861992
1989-03-13T00:35:00.000000Z    -0.04065482    -128.31174738     6.62859281
1989-03-13T00:36:00.000000Z    -0.04074320    -128.31286246     6.62856560
1989-03-13T00:37:00.000000Z    -0.04083081    -128.31397549     6.62853828
1989-03-13T00:38:00.000000Z    -0.04091763    -128.31508646     6.62851086
1989-03-13T00:39:00.000000Z    -0.04100368    -128.31619536     6.62848333
1989-03-13T00:40:00.000000Z    -0.04108895    -128.31730218     6.62845569
1989-03-13T00:41:00.000000Z    -0.04117343    -128.31840691     6.62842796
1989-03-13T00:42:00.000000Z    -0.04125712    -128.31950955     6.62840012
1989-03-13T00:43:00.000000Z    -0.04134003    -128.32061009     6.62837217
1989-03-13T00:44:00.000000Z    -0.04142215    -128.32170852     6.62834413
1989-03-13T00:45:00.000000Z    -0.04150348    -128.32280484     6.62831598
1989-03-13T00:46:00.000000Z    -0.04158402    -128.32389903     6.62828773
1989-03-13T00:47:00.000000Z    -0.04166377    -128.32499109     6.62825938
1989-03-13T00:48:00.000000Z    -0.04174272    -128.32608101     6.62823093
1989-03-13T00:49:00.000000Z    -0.04182088    -128.32716878     6.62820238
1989-03-13T00:50:00.000000Z    -0.04189823    -128.32825440     6.62817373
1989-03-13T00:51:00.000000Z    -0.04197479    -128.32933786     6.62814498
1989-03-13T00:52:00.000000Z    -0.04205055    -128.33041915     6.62811613
1989-03-13T00:53:00.000000Z    -0.04212551    -128.33149826     6.62808719
1989-03-13T00:54:00.000000Z    -0.04219966    -128.33257519     6.62805815
1989-03-13T00:55:00.000000Z    -0.04227301    -128.33364992     6.62802901
