# INFO: GOES 1 min ephemeris
# SAT: GOES7
# DATE: 19890315
#                    UTC     Lat (deg)     Lon (deg)      Rad (Re)
1989-03-15T00:00:00.000000Z    -0.03794022    -130.26635261     6.62945121
1989-03-15T00:01:00.000000Z    -0.03805072    -130.26753328     6.62942805
1989-03-15T00:02:00.000000Z    -0.03816049    -130.26871219     6.62940477
1989-03-15T00:03:00.000000Z    -0.03826954    -130.26988935     6.62938137
1989-03-15T00:04:00.000000Z    -0.03837787    -130.27106474     6.62935784
1989-03-15T00:05:00.000000Z    -0.03848546    -130.27223836     6.62933419
1989-03-15T00:06:00.000000Z    -0.03859233    -130.27341019     6.62931042
1989-03-15T00:07:00.000000Z    -0.03869847    -130.27458022     6.62928653
1989-03-15T00:08:00.000000Z    -0.03880387    -130.27574846     6.62926252
1989-03-15T00:09:00.000000Z    -0.03890854    -130.27691488     6.62923839
1989-03-15T00:10:00.000000Z    -0.03901247    -130.27807948     6.62921414
1989-03-15T00:11:00.000000Z    -0.03911567    -130.27924225     6.62918977
1989-03-15T00:12:00.000000Z    -0.03921812    -130.28040318     6.62916528
1989-03-15T00:13:00.000000Z    -0.03931982    -130.28156226     6.62914068
1989-03-15T00:14:00.000000Z    -0.03942078    -130.28271949     6.62911595
1989-03-15T00:15:00.000000Z    -0.03952100    -130.28387485     6.62909111
1989-03-15T00:16:00.000000Z    -0.03962046    -130.28502834     6.62906616
1989-03-15T00:17:00.000000Z    -0.03971918    -130.28617994     6.62904109
1989-03-15T00:18:00.000000Z    -0.03981714    -130.28732965     6.62901590
1989-03-15T00:19:00.000000Z    -0.03991434    -130.28847746     6.62899059
1989-03-15T00:20:00.000000Z    -0.04001079    -130.28962336     6.62896518
1989-03-15T00:21:00.000000Z    -0.04010648    -130.29076735     6.62893964
1989-03-15T00:22:00.000000Z    -0.04020141    -130.29190940     6.62891400
1989-03-15T00:23:00.000000Z    -0.04029558    -130.29304953     6.62888824
1989-03-15T00:24:00.000000Z    -0.04038898    -130.29418770     6.62886237
1989-03-15T00:25:00.000000Z    -0.04048162    -130.29532393     6.62883638
1989-03-15T00:26:00.000000Z    -0.04057349    -130.29645819     6.62881029
1989-03-15T00:27:00.000000Z    -0.04066459    -130.29759049     6.62878408
1989-03-15T00:28:00.000000Z    -0.04075491    -130.29872081     6.62875776
1989-03-15T00:29:00.000000Z    -0.04084447    -130.29984914     6.62873134
1989-03-15T00:30:00.000000Z    -0.04093325    -130.30097548     6.62870480
1989-03-15T00:31:00.000000Z    -0.04102125    -130.30209982     6.62867815
1989-03-15T00:32:00.000000Z    -0.04110847    -130.30322214     6.62865139
1989-03-15T00:33:00.000000Z    -0.04119492    -130.30434245     6.62862453
1989-03-15T00:34:00.000000Z    -0.04128058    -130.30546073     6.62859756
1989-03-15T00:35:00.000000Z    -0.04136546    -130.30657697     6.62857048
1989-03-15T00:36:00.000000Z    -0.04144955    -130.30769118     6.62854329
1989-03-15T00:37:00.000000Z    -0.04153286    -130.30880333     6.62851600
1989-03-15T00:38:00.000000Z    -0.04161538    -130.30991342     6.62848861
1989-03-15T00:39:00.000000Z    -0.04169711    -130.31102144     6.62846110
1989-03-15T00:40:00.000000Z    -0.04177804    -130.31212740     6.62843350
1989-03-15T00:41:00.000000Z    -0.04185819    -130.31323126     6.62840578
1989-03-15T00:42:00.000000Z    -0.04193754    -130.31433304     6.62837797
1989-03-15T00:43:00.000000Z    -0.04201609    -130.31543272     6.62835005
1989-03-15T00:44:00.000000Z    -0.04209384    -130.31653029     6.62832203
1989-03-15T00:45:00.000000Z    -0.04217080    -130.31762575     6.62829391
1989-03-15T00:46:00.000000Z    -0.04224695    -130.31871908     6.62826568
1989-03-15T00:47:00.000000Z    -0.04232231    -130.31981029     6.62823736
1989-03-15T00:48:00.000000Z    -0.04239685    -130.32089936     6.62820893
1989-03-15T00:49:00.000000Z    -0.04247060    -130.32198628     6.62818041
1989-03-15T00:50:00.000000Z    -0.04254353    -130.32307106     6.62815178
1989-03-15T00:51:00.000000Z    -0.04261566    -130.32415367     6.62812306
1989-03-15T00:52:00.000000Z    -0.04268698    -130.32523412     6.62809424
1989-03-15T00:53:00.000000Z    -0.04275749    -130.32631239     6.62806532
1989-03-15T00:54:00.000000Z    -0.04282719    -130.32738848     6.62803630
1989-03-15T00:55:00.000000Z    -0.04289607    -130.32846238     6.62800719
1989-03-15T00:56:00.000000Z    -0.04296413    -130.32953409     6.62797798
1989-03-15T00:57:00.000000Z    -0.04303138    -130.33060359     6.62794868
1989-03-15T00:58:00.000000Z    -0.04309782    -130.33167088     6.62791928
1989-03-15T00:59:00.000000Z    -0.04316343    -130.33273595     6.62788978
1989-03-15T01:00:00.000000Z    -0.04322822    -130.33379880     6.62786019
1989-03-15T01:01:00.000000Z    -0.04329220    -130.33485942     6.62783051
1989-03-15T01:02:00.000000Z    -0.04335534    -130.33591779     6.62780074
1989-03-15T01:03:00.000000Z    -0.04341767    -130.33697392     6.62777087
1989-03-15T01:04:00.000000Z    -0.04347917    -130.33802780     6.62774092
1989-03-15T01:05:00.000000Z    -0.04353984    -130.33907942     6.62771087
1989-03-15T01:06:00.000000Z    -0.04359969    -130.34012877     6.62768073
1989-03-15T01:07:00.000000Z    -0.04365870    -130.34117585     6.62765050
1989-03-15T01:08:00.000000Z    -0.04371689    -130.34222064     6.62762018
1989-03-15T01:09:00.000000Z    -0.04377424    -130.34326315     6.62758978
1989-03-15T01:10:00.000000Z    -0.04383076    -130.34430337     6.62755928
1989-03-15T01:11:00.000000Z    -0.04388645    -130.34534129     6.62752870
1989-03-15T01:12:00.000000Z    -0.04394131    -130.34637689     6.62749803
1989-03-15T01:13:00.000000Z    -0.04399532    -130.34741019     6.62746727
1989-03-15T01:14:00.000000Z    -0.04404851    -130.34844116     6.62743643
1989-03-15T01:15:00.000000Z    -0.04410085    -130.34946981     6.62740551
1989-03-15T01:16:00.000000Z    -0.04415235    -130.35049613     6.62737449
1989-03-15T01:17:00.000000Z    -0.04420302    -130.35152010     6.62734340
1989-03-15T01:18:00.000000Z    -0.04425284    -130.35254173     6.62731222
1989-03-15T01:19:00.000000Z    -0.04430182    -130.35356101     6.62728096
1989-03-15T01:20:00.000000Z    -0.04434996    -130.35457793     6.62724961
1989-03-15T01:21:00.000000Z    -0.04439726    -130.35559249     6.62721819
1989-03-15T01:22:00.000000Z    -0.04444371    -130.35660467     6.62718668
1989-03-15T01:23:00.000000Z    -0.04448931    -130.35761448     6.62715510
1989-03-15T01:24:00.000000Z    -0.04453407    -130.35862190     6.62712343
1989-03-15T01:25:00.000000Z    -0.04457798    -130.35962694     6.62709168
1989-03-15T01:26:00.000000Z    -0.04462104    -130.36062958     6.62705986
1989-03-15T01:27:00.000000Z    -0.04466325    -130.36162982     6.62702795
1989-03-15T01:28:00.000000Z    -0.04470461    -130.36262766     6.62699597
1989-03-15T01:29:00.000000Z    -0.04474513    -130.36362308     6.62696391
1989-03-15T01:30:00.000000Z    -0.04478478    -130.36461608     6.62693178
1989-03-15T01:31:00.000000Z    -0.04482359    -130.36560666     6.62689957
1989-03-15T01:32:00.000000Z    -0.04486154    -130.36659481     6.62686729
1989-03-15T01:33:00.000000Z    -0.04489864    -130.36758052     6.62683493
1989-03-15T01:34:00.000000Z    -0.04493489    -130.36856380     6.62680249
1989-03-15T01:35:00.000000Z    -0.04497027    -130.36954462     6.62676999
1989-03-15T01:36:00.000000Z    -0.04500481    -130.37052300     6.62673741
1989-03-15T01:37:00.000000Z    -0.04503848    -130.37149891     6.62670476
1989-03-15T01:38:00.000000Z    -0.04507130    -130.37247237     6.62667204
1989-03-15T01:39:00.000000Z    -0.04510325    -130.37344335     6.62663924
1989-03-15T01:40:00.000000Z    -0.04513435    -130.37441186     6.62660638
1989-03-15T01:41:00.000000Z    -0.04516459    -130.37537790     6.62657345
1989-03-15T01:42:00.000000Z    -0.04519397    -130.37634144     6.62654045
1989-03-15T01:43:00.000000Z    -0.04522249    -130.37730250     6.62650738
1989-03-15T01:44:00.000000Z    -0.04525014    -130.37826106     6.62647424
1989-03-15T01:45:00.000000Z    -0.04527694    -130.37921713     6.62644104
1989-03-15T01:46:00.000000Z    -0.04530287    -130.38017069     6.62640777
