# INFO: GOES 1 min ephemeris
# SAT: GOES6
# DATE: 19890314
#                    UTC     Lat (deg)     Lon (deg)      Rad (Re)
1989-03-14T00:00:00.000000Z    -1.17122913    -104.92040783     6.61188271
1989-03-14T00:01:00.000000Z    -1.16455994    -104.92052567     6.61188116
1989-03-14T00:02:00.000000Z    -1.15786849    -104.92064459     6.61187959
1989-03-14T00:03:00.000000Z    -1.15115490    -104.92076457     6.61187801
1989-03-14T00:04:00.000000Z    -1.14441930    -104.92088561     6.61187641
1989-03-14T00:05:00.000000Z    -1.13766182    -104.92100771     6.61187480
1989-03-14T00:06:00.000000Z    -1.13088258    -104.92113086     6.61187317
1989-03-14T00:07:00.000000Z    -1.12408173    -104.92125506     6.61187153
1989-03-14T00:08:00.000000Z    -1.11725938    -104.92138030     6.61186987
1989-03-14T00:09:00.000000Z    -1.11041567    -104.92150659     6.61186819
1989-03-14T00:10:00.000000Z    -1.10355072    -104.92163391     6.61186650
1989-03-14T00:11:00.000000Z    -1.09666468    -104.92176226     6.61186480
1989-03-14T00:12:00.000000Z    -1.08975767    -104.92189163     6.61186308
1989-03-14T00:13:00.000000Z    -1.08282982    -104.92202203     6.61186134
1989-03-14T00:14:00.000000Z    -1.07588127    -104.92215344     6.61185959
1989-03-14T00:15:00.000000Z    -1.06891214    -104.92228586     6.61185782
1989-03-14T00:16:00.000000Z    -1.06192258    -104.92241928     6.61185604
1989-03-14T00:17:00.000000Z    -1.05491271    -104.92255370     6.61185425
1989-03-14T00:18:00.000000Z    -1.04788268    -104.92268912     6.61185243
1989-03-14T00:19:00.000000Z    -1.04083261    -104.92282553     6.61185061
1989-03-14T00:20:00.000000Z    -1.03376263    -104.92296292     6.61184876
1989-03-14T00:21:00.000000Z    -1.02667290    -104.92310129     6.61184691
1989-03-14T00:22:00.000000Z    -1.01956353    -104.92324063     6.61184503
1989-03-14T00:23:00.000000Z    -1.01243466    -104.92338093     6.61184315
1989-03-14T00:24:00.000000Z    -1.00528644    -104.92352220     6.61184124
1989-03-14T00:25:00.000000Z    -0.99811900    -104.92366442     6.61183933
1989-03-14T00:26:00.000000Z    -0.99093248    -104.92380758     6.61183740
1989-03-14T00:27:00.000000Z    -0.98372700    -104.92395169     6.61183545
1989-03-14T00:28:00.000000Z    -0.97650272    -104.92409674     6.61183349
1989-03-14T00:29:00.000000Z    -0.96925976    -104.92424271     6.61183151
1989-03-14T00:30:00.000000Z    -0.96199827    -104.92438961     6.61182952
1989-03-14T00:31:00.000000Z    -0.95471839    -104.92453742     6.61182751
1989-03-14T00:32:00.000000Z    -0.94742026    -104.92468615     6.61182549
1989-03-14T00:33:00.000000Z    -0.94010401    -104.92483578     6.61182346
1989-03-14T00:34:00.000000Z    -0.93276978    -104.92498630     6.61182141
1989-03-14T00:35:00.000000Z    -0.92541772    -104.92513772     6.61181934
1989-03-14T00:36:00.000000Z    -0.91804796    -104.92529001     6.61181726
1989-03-14T00:37:00.000000Z    -0.91066065    -104.92544319     6.61181517
1989-03-14T00:38:00.000000Z    -0.90325593    -104.92559723     6.61181306
1989-03-14T00:39:00.000000Z    -0.89583394    -104.92575214     6.61181094
1989-03-14T00:40:00.000000Z    -0.88839481    -104.92590790     6.61180881
1989-03-14T00:41:00.000000Z    -0.88093870    -104.92606451     6.61180665
1989-03-14T00:42:00.000000Z    -0.87346575    -104.92622196     6.61180449
1989-03-14T00:43:00.000000Z    -0.86597609    -104.92638024     6.61180231
1989-03-14T00:44:00.000000Z    -0.85846988    -104.92653935     6.61180012
1989-03-14T00:45:00.000000Z    -0.85094725    -104.92669928     6.61179791
1989-03-14T00:46:00.000000Z    -0.84340835    -104.92686001     6.61179569
1989-03-14T00:47:00.000000Z    -0.83585333    -104.92702156     6.61179345
1989-03-14T00:48:00.000000Z    -0.82828232    -104.92718389     6.61179120
1989-03-14T00:49:00.000000Z    -0.82069547    -104.92734702     6.61178894
1989-03-14T00:50:00.000000Z    -0.81309293    -104.92751092     6.61178666
1989-03-14T00:51:00.000000Z    -0.80547483    -104.92767559     6.61178437
1989-03-14T00:52:00.000000Z    -0.79784134    -104.92784103     6.61178207
1989-03-14T00:53:00.000000Z    -0.79019259    -104.92800723     6.61177975
1989-03-14T00:54:00.000000Z    -0.78252874    -104.92817417     6.61177742
1989-03-14T00:55:00.000000Z    -0.77484992    -104.92834185     6.61177507
1989-03-14T00:56:00.000000Z    -0.76715628    -104.92851027     6.61177271
1989-03-14T00:57:00.000000Z    -0.75944797    -104.92867940     6.61177034
1989-03-14T00:58:00.000000Z    -0.75172514    -104.92884925     6.61176795
1989-03-14T00:59:00.000000Z    -0.74398793    -104.92901981     6.61176555
1989-03-14T01:00:00.000000Z    -0.73623650    -104.92919106     6.61176313
1989-03-14T01:01:00.000000Z    -0.72847099    -104.92936300     6.61176071
1989-03-14T01:02:00.000000Z    -0.72069154    -104.92953563     6.61175827
1989-03-14T01:03:00.000000Z    -0.71289832    -104.92970892     6.61175581
1989-03-14T01:04:00.000000Z    -0.70509146    -104.92988288     6.61175334
1989-03-14T01:05:00.000000Z    -0.69727112    -104.93005749     6.61175086
1989-03-14T01:06:00.000000Z    -0.68943744    -104.93023274     6.61174837
1989-03-14T01:07:00.000000Z    -0.68159058    -104.93040864     6.61174586
1989-03-14T01:08:00.000000Z    -0.67373069    -104.93058515     6.61174334
1989-03-14T01:09:00.000000Z    -0.66585791    -104.93076229     6.61174081
1989-03-14T01:10:00.000000Z    -0.65797239    -104.93094004     6.61173826
1989-03-14T01:11:00.000000Z    -0.65007430    -104.93111838     6.61173570
1989-03-14T01:12:00.000000Z    -0.64216377    -104.93129732     6.61173313
1989-03-14T01:13:00.000000Z    -0.63424095    -104.93147683     6.61173055
1989-03-14T01:14:00.000000Z    -0.62630601    -104.93165692     6.61172795
1989-03-14T01:15:00.000000Z    -0.61835909    -104.93183757     6.61172534
1989-03-14T01:16:00.000000Z    -0.61040034    -104.93201877     6.61172272
1989-03-14T01:17:00.000000Z    -0.60242992    -104.93220052     6.61172008
1989-03-14T01:18:00.000000Z    -0.59444797    -104.93238280     6.61171743
1989-03-14T01:19:00.000000Z    -0.58645466    -104.93256560     6.61171477
1989-03-14T01:20:00.000000Z    -0.57845013    -104.93274892     6.61171210
1989-03-14T01:21:00.000000Z    -0.57043453    -104.93293274     6.61170941
1989-03-14T01:22:00.000000Z    -0.56240803    -104.93311706     6.61170672
1989-03-14T01:23:00.000000Z    -0.55437076    -104.93330186     6.61170400
