
#COOR
GEO

#START
1989 03 12 00 00 00 000 -1.6961160E+00 -6.3891018E+00 -1.4035140E-01
1989 03 12 00 01 00 000 -1.6961317E+00 -6.3891125E+00 -1.3960213E-01
1989 03 12 00 02 00 000 -1.6961476E+00 -6.3891232E+00 -1.3885018E-01
1989 03 12 00 03 00 000 -1.6961636E+00 -6.3891338E+00 -1.3809558E-01
1989 03 12 00 04 00 000 -1.6961797E+00 -6.3891443E+00 -1.3733833E-01
1989 03 12 00 05 00 000 -1.6961959E+00 -6.3891548E+00 -1.3657846E-01
1989 03 12 00 06 00 000 -1.6962123E+00 -6.3891651E+00 -1.3581597E-01
1989 03 12 00 07 00 000 -1.6962287E+00 -6.3891754E+00 -1.3505088E-01
1989 03 12 00 08 00 000 -1.6962452E+00 -6.3891856E+00 -1.3428321E-01
1989 03 12 00 09 00 000 -1.6962619E+00 -6.3891957E+00 -1.3351297E-01
1989 03 12 00 10 00 000 -1.6962786E+00 -6.3892058E+00 -1.3274018E-01
1989 03 12 00 11 00 000 -1.6962955E+00 -6.3892157E+00 -1.3196484E-01
1989 03 12 00 12 00 000 -1.6963124E+00 -6.3892256E+00 -1.3118698E-01
1989 03 12 00 13 00 000 -1.6963295E+00 -6.3892353E+00 -1.3040661E-01
1989 03 12 00 14 00 000 -1.6963466E+00 -6.3892450E+00 -1.2962374E-01
1989 03 12 00 15 00 000 -1.6963639E+00 -6.3892546E+00 -1.2883839E-01
1989 03 12 00 16 00 000 -1.6963812E+00 -6.3892641E+00 -1.2805058E-01
1989 03 12 00 17 00 000 -1.6963987E+00 -6.3892735E+00 -1.2726031E-01
1989 03 12 00 18 00 000 -1.6964162E+00 -6.3892829E+00 -1.2646761E-01
1989 03 12 00 19 00 000 -1.6964339E+00 -6.3892921E+00 -1.2567249E-01
1989 03 12 00 20 00 000 -1.6964516E+00 -6.3893012E+00 -1.2487497E-01
1989 03 12 00 21 00 000 -1.6964695E+00 -6.3893103E+00 -1.2407505E-01
1989 03 12 00 22 00 000 -1.6964874E+00 -6.3893192E+00 -1.2327276E-01
1989 03 12 00 23 00 000 -1.6965055E+00 -6.3893281E+00 -1.2246811E-01
1989 03 12 00 24 00 000 -1.6965236E+00 -6.3893368E+00 -1.2166112E-01
1989 03 12 00 25 00 000 -1.6965418E+00 -6.3893455E+00 -1.2085180E-01
1989 03 12 00 26 00 000 -1.6965601E+00 -6.3893540E+00 -1.2004016E-01
1989 03 12 00 27 00 000 -1.6965785E+00 -6.3893625E+00 -1.1922623E-01
1989 03 12 00 28 00 000 -1.6965970E+00 -6.3893709E+00 -1.1841002E-01
1989 03 12 00 29 00 000 -1.6966156E+00 -6.3893791E+00 -1.1759153E-01
1989 03 12 00 30 00 000 -1.6966343E+00 -6.3893873E+00 -1.1677080E-01
1989 03 12 00 31 00 000 -1.6966530E+00 -6.3893953E+00 -1.1594784E-01
1989 03 12 00 32 00 000 -1.6966719E+00 -6.3894033E+00 -1.1512265E-01
1989 03 12 00 33 00 000 -1.6966908E+00 -6.3894111E+00 -1.1429526E-01
1989 03 12 00 34 00 000 -1.6967098E+00 -6.3894188E+00 -1.1346569E-01
1989 03 12 00 35 00 000 -1.6967289E+00 -6.3894265E+00 -1.1263394E-01
1989 03 12 00 36 00 000 -1.6967481E+00 -6.3894340E+00 -1.1180003E-01
1989 03 12 00 37 00 000 -1.6967673E+00 -6.3894414E+00 -1.1096399E-01
1989 03 12 00 38 00 000 -1.6967867E+00 -6.3894487E+00 -1.1012582E-01
1989 03 12 00 39 00 000 -1.6968061E+00 -6.3894559E+00 -1.0928555E-01
1989 03 12 00 40 00 000 -1.6968256E+00 -6.3894630E+00 -1.0844318E-01
1989 03 12 00 41 00 000 -1.6968452E+00 -6.3894699E+00 -1.0759873E-01
1989 03 12 00 42 00 000 -1.6968648E+00 -6.3894768E+00 -1.0675223E-01
1989 03 12 00 43 00 000 -1.6968845E+00 -6.3894835E+00 -1.0590368E-01
1989 03 12 00 44 00 000 -1.6969043E+00 -6.3894901E+00 -1.0505311E-01
1989 03 12 00 45 00 000 -1.6969242E+00 -6.3894967E+00 -1.0420053E-01
1989 03 12 00 46 00 000 -1.6969441E+00 -6.3895031E+00 -1.0334595E-01
1989 03 12 00 47 00 000 -1.6969642E+00 -6.3895093E+00 -1.0248939E-01
1989 03 12 00 48 00 000 -1.6969842E+00 -6.3895155E+00 -1.0163087E-01
1989 03 12 00 49 00 000 -1.6970044E+00 -6.3895215E+00 -1.0077040E-01
1989 03 12 00 50 00 000 -1.6970246E+00 -6.3895275E+00 -9.9908010E-02
1989 03 12 00 51 00 000 -1.6970449E+00 -6.3895333E+00 -9.9043703E-02
1989 03 12 00 52 00 000 -1.6970653E+00 -6.3895390E+00 -9.8177501E-02
1989 03 12 00 53 00 000 -1.6970857E+00 -6.3895445E+00 -9.7309419E-02
1989 03 12 00 54 00 000 -1.6971062E+00 -6.3895500E+00 -9.6439474E-02
1989 03 12 00 55 00 000 -1.6971267E+00 -6.3895553E+00 -9.5567683E-02
1989 03 12 00 56 00 000 -1.6971473E+00 -6.3895605E+00 -9.4694062E-02
1989 03 12 00 57 00 000 -1.6971680E+00 -6.3895656E+00 -9.3818629E-02
1989 03 12 00 58 00 000 -1.6971887E+00 -6.3895705E+00 -9.2941400E-02
1989 03 12 00 59 00 000 -1.6972095E+00 -6.3895754E+00 -9.2062391E-02
1989 03 12 01 00 00 000 -1.6972303E+00 -6.3895801E+00 -9.1181620E-02
